Category,Color,Discount,Frequency of Purchases,Gender,Item,Location,Payment Method,Season,Shipping Type,Size,Subscription Status,Age,Customer,Previous Purchases,Review Rating,Sales (USD)
Clothing,Gray,Yes,Fortnightly,Male,Blouse,Kentucky,Card,Winter,Courier,L,No,55,1,6,3.1,39.94
Clothing,Maroon,Yes,Fortnightly,Male,Sweater,Maine,Cash,Winter,Courier,L,No,19,2,1,3.1,58.23
Clothing,Maroon,Yes,Weekly,Male,Jeans,Massachusetts,Card,Spring,Courier,S,No,50,3,3,3.1,80.19
Footwear,Maroon,Yes,Weekly,Male,Sandals,Rhode Island,Card,Spring,Store Pickup,M,No,21,4,0,3.5,168.4
Clothing,Turquoise,Yes,Fortnightly,Male,Blouse,Oregon,Card,Spring,Courier,M,No,45,5,1,2.7,34.43
Footwear,White,Yes,Weekly,Male,Sneakers,Wyoming,Card,Summer,Courier,M,No,26,6,6,2.9,9.13
Clothing,Gray,Yes,Quarterly,Male,Shirt,Montana,Cash,Fall,Courier,M,No,34,7,0,3.2,130.49
Clothing,Charcoal,Yes,Weekly,Male,Shorts,Louisiana,Card,Winter,Courier,L,No,27,8,4,3.2,19.11
Outerwear,Silver,Yes,Fortnightly,Male,Coat,West Virginia,Card,Summer,Courier,L,No,26,9,7,2.6,324.87
Accessories,Pink,Yes,Quarterly,Male,Handbag,Missouri,Cash,Spring,Courier,M,Yes,24,10,3,4.8,16.62
Footwear,Purple,Yes,Weekly,Male,Shoes,Arkansas,Cash,Fall,Store Pickup,L,No,28,11,2,4.1,19.1
Clothing,Olive,Yes,Fortnightly,Male,Shorts,Hawaii,Cash,Winter,Store Pickup,S,Yes,30,12,1,4.9,67.29
Outerwear,Gold,Yes,Fortnightly,Male,Coat,Delaware,Card,Winter,Courier,M,Yes,36,13,0,4.5,77.19
Clothing,Violet,Yes,Weekly,Male,Dress,New Hampshire,Card,Spring,Courier,M,Yes,28,14,1,4.7,37.19
Outerwear,Teal,Yes,Weekly,Male,Coat,New York,Card,Winter,Courier,L,Yes,64,15,1,4.7,39.92
Clothing,Teal,Yes,Monthly,Male,Skirt,Rhode Island,Card,Winter,Store Pickup,M,No,64,16,7,2.8,108.78
Accessories,Gray,Yes,Weekly,Male,Sunglasses,Alabama,Card,Spring,Store Pickup,S,No,25,17,0,4.1,20.91
Clothing,Lavender,Yes,Quarterly,Male,Dress,Mississippi,Card,Winter,Courier,XL,Yes,28,18,0,4.7,22.78
Clothing,Black,Yes,Weekly,Male,Sweater,Montana,Cash,Summer,Courier,S,Yes,19,19,4,4.6,33.34
Clothing,Green,Yes,Weekly,Male,Pants,Rhode Island,Card,Summer,Courier,M,No,66,20,0,3.3,168.24
Clothing,Black,Yes,Monthly,Male,Pants,Louisiana,Cash,Winter,Courier,M,No,21,21,0,2.8,37.18
Clothing,Charcoal,Yes,Quarterly,Male,Pants,North Carolina,Card,Winter,Store Pickup,M,No,31,22,3,4.1,54.07
Clothing,Peach,Yes,Fortnightly,Male,Pants,California,Card,Summer,Store Pickup,M,No,56,23,1,3.2,21.84
Clothing,White,Yes,Weekly,Male,Pants,Oklahoma,Card,Winter,Courier,XL,Yes,31,24,0,4.4,149.48
Outerwear,Green,Yes,Weekly,Male,Jacket,Florida,Card,Fall,Store Pickup,M,No,18,25,5,2.9,10.3
Clothing,Silver,Yes,Fortnightly,Male,Hoodie,Texas,Card,Summer,Courier,M,No,18,26,6,3.6,12.28
Clothing,Red,Yes,Weekly,Male,Blouse,Maryland,Card,Spring,Store Pickup,M,No,49,27,0,3.7,14.33
Accessories,Red,Yes,Fortnightly,Male,Jewelry,Nevada,Card,Spring,Store Pickup,M,No,38,27,6,3.6,9.13
Clothing,Cyan,Yes,Monthly,Male,Shorts,Kentucky,Cash,Summer,Store Pickup,L,Yes,56,28,6,5,44.18
Accessories,Gray,Yes,Monthly,Male,Handbag,North Carolina,Card,Fall,Courier,M,Yes,21,29,0,4.4,224.38
Clothing,Black,Yes,Weekly,Male,Dress,Wyoming,Card,Fall,Store Pickup,S,No,31,30,6,4.1,33.33
Accessories,Black,Yes,Monthly,Male,Jewelry,North Carolina,Card,Winter,Courier,L,Yes,24,31,5,4.7,16.61
Clothing,Brown,Yes,Monthly,Male,Dress,West Virginia,Card,Winter,Store Pickup,L,Yes,33,32,0,4.7,100.12
Outerwear,Silver,Yes,Fortnightly,Male,Jacket,Kansas,Card,Summer,Courier,M,Yes,36,33,0,4.9,64.64
Clothing,Green,Yes,Quarterly,Male,Pants,Colorado,Cash,Summer,Store Pickup,L,No,21,34,0,3.3,22.77
Clothing,Violet,Yes,Quarterly,Male,T-shirt,North Dakota,Card,Spring,Courier,L,Yes,36,35,0,4.6,179.68
Clothing,Cyan,Yes,Weekly,Male,Blouse,Massachusetts,Card,Summer,Courier,M,No,21,36,0,4,18.31
Clothing,Maroon,Yes,Fortnightly,Male,T-shirt,Illinois,Card,Winter,Courier,M,Yes,35,37,0,4.6,69.3
Clothing,Cyan,Yes,Weekly,Male,Jeans,Indiana,Card,Summer,Store Pickup,S,No,35,38,9,2.8,29.94
Clothing,Red,Yes,Monthly,Male,Dress,Florida,Card,Winter,Courier,M,No,29,39,0,3.7,21.83
Clothing,Turquoise,Yes,Monthly,Male,Pants,Arizona,Card,Summer,Courier,S,No,70,40,4,4.2,50.72
Accessories,Beige,Yes,Quarterly,Male,Handbag,Louisiana,Card,Winter,Store Pickup,L,Yes,33,41,1,4.6,89.24
Accessories,Orange,Yes,Fortnightly,Male,Scarf,Alaska,Card,Spring,Courier,M,Yes,31,42,0,4.5,23.69
Outerwear,Beige,Yes,Fortnightly,Male,Coat,Tennessee,Card,Spring,Courier,M,Yes,20,43,5,4.1,1281.24
Accessories,Lavender,Yes,Fortnightly,Male,Scarf,Ohio,Card,Fall,Store Pickup,L,No,25,44,4,3.7,69.27
Accessories,Silver,Yes,Weekly,Male,Hat,Kentucky,Card,Summer,Courier,S,Yes,39,45,0,4.6,39.91
Clothing,Indigo,Yes,Fortnightly,Male,Socks,Tennessee,Card,Fall,Courier,XL,No,50,46,2,2.9,9.71
Clothing,White,Yes,Quarterly,Male,Shirt,California,Cash,Summer,Store Pickup,L,No,24,47,0,2.9,27.67
Accessories,Charcoal,Yes,Weekly,Male,Jewelry,Montana,Cash,Winter,Courier,M,Yes,55,48,0,4.5,41.21
Clothing,Orange,Yes,Monthly,Male,Shirt,Nevada,Cash,Summer,Store Pickup,M,No,22,49,0,2.7,42.59
Clothing,Indigo,Yes,Weekly,Male,Hoodie,New Jersey,Card,Spring,Store Pickup,S,Yes,30,50,1,4.6,15.83
Clothing,Gray,Yes,Quarterly,Male,Skirt,Vermont,Card,Winter,Courier,XL,Yes,54,52,6,4.7,48.96
Clothing,Green,Yes,Weekly,Male,T-shirt,Alaska,Card,Summer,Courier,M,No,22,53,2,2.6,9.12
Clothing,Peach,Yes,Weekly,Male,Skirt,Mississippi,Card,Winter,Store Pickup,S,No,29,54,0,3.9,11.59
Outerwear,Brown,Yes,Weekly,Male,Coat,New Mexico,Card,Summer,Store Pickup,M,Yes,33,55,0,4.2,224.03
Outerwear,Lavender,Yes,Fortnightly,Male,Jacket,South Carolina,Card,Winter,Courier,M,No,40,56,0,3,14.33
Accessories,Brown,Yes,Weekly,Male,Backpack,Mississippi,Card,Summer,Store Pickup,XL,Yes,41,57,0,4.7,80.15
Outerwear,White,Yes,Fortnightly,Male,Coat,West Virginia,Card,Summer,Store Pickup,M,Yes,21,58,4,4.4,58.2
Clothing,Charcoal,Yes,Monthly,Male,Hoodie,Missouri,Card,Summer,Courier,M,No,33,59,1,4.2,41.19
Accessories,Yellow,Yes,Weekly,Male,Belt,Louisiana,Card,Spring,Courier,L,Yes,34,60,3,4.6,100.06
Clothing,Brown,Yes,Weekly,Male,Sweater,Idaho,Cash,Summer,Courier,L,No,50,61,4,4,21.82
Accessories,Orange,Yes,Monthly,Male,Scarf,Texas,Card,Winter,Store Pickup,M,Yes,55,62,3,4.7,67.26
Footwear,Magenta,Yes,Fortnightly,Male,Sneakers,Mississippi,Card,Spring,Courier,S,No,30,63,1,3.8,9.71
Accessories,Lavender,Yes,Weekly,Male,Sunglasses,Arizona,Card,Winter,Courier,L,No,33,64,0,2.7,100
Footwear,Green,Yes,Fortnightly,Male,Boots,Alabama,Card,Fall,Courier,S,Yes,28,65,4,4.8,119.09
Accessories,Purple,Yes,Monthly,Male,Backpack,New Jersey,Card,Spring,Courier,M,Yes,28,66,0,4.8,20.9
Clothing,Magenta,Yes,Monthly,Male,Blouse,Pennsylvania,Card,Winter,Courier,S,Yes,31,67,2,4.7,223.68
Outerwear,Gray,Yes,Monthly,Male,Coat,Connecticut,Card,Winter,Store Pickup,L,No,45,68,0,4.4,18.31
Accessories,Silver,Yes,Monthly,Male,Handbag,Utah,Cash,Summer,Store Pickup,L,No,24,69,3,3.9,31.06
Accessories,Cyan,Yes,Weekly,Male,Belt,Tennessee,Cash,Summer,Courier,S,Yes,48,70,4,4.4,71.7
Accessories,Magenta,Yes,Monthly,Male,Belt,Alabama,Card,Fall,Courier,M,No,22,71,1,4.2,15.09
Clothing,Gold,Yes,Fortnightly,Male,Dress,Virginia,Cash,Summer,Courier,L,No,36,72,1,2.9,33.32
Clothing,Olive,Yes,Monthly,Male,Dress,Georgia,Cash,Winter,Store Pickup,M,No,18,73,3,2.9,12.96
Clothing,Teal,Yes,Weekly,Male,Pants,Hawaii,Cash,Spring,Courier,M,No,48,74,0,2.7,130.4
Accessories,Violet,Yes,Monthly,Male,Gloves,Indiana,Cash,Spring,Courier,L,Yes,49,75,2,4.5,47.28
Accessories,Blue,Yes,Fortnightly,Male,Scarf,Utah,Card,Summer,Courier,M,No,64,76,3,2.7,130.3
Accessories,Teal,Yes,Monthly,Male,Hat,Delaware,Card,Summer,Courier,S,No,50,77,1,4.2,27.66
Clothing,Gold,Yes,Fortnightly,Male,Dress,Delaware,Card,Summer,Store Pickup,L,No,22,78,0,3.3,39.9
Clothing,Maroon,Yes,Fortnightly,Male,Skirt,Nebraska,Card,Spring,Courier,M,Yes,50,79,0,4.7,179.48
Outerwear,Olive,Yes,Monthly,Male,Jacket,Iowa,Cash,Winter,Courier,M,No,38,80,0,2.6,278.19
Footwear,Blue,Yes,Monthly,Male,Sandals,New York,Card,Summer,Store Pickup,XL,No,19,81,2,3.3,77.15
Footwear,Maroon,Yes,Monthly,Male,Shoes,Virginia,Card,Summer,Courier,L,No,31,82,0,2.6,277.56
Clothing,Olive,Yes,Monthly,Male,Pants,Georgia,Card,Spring,Courier,S,No,19,83,3,4,14.32
Clothing,Turquoise,Yes,Weekly,Male,Dress,Texas,Cash,Summer,Courier,M,No,36,84,1,4.1,24.65
Outerwear,Peach,Yes,Monthly,Male,Coat,Arizona,Cash,Spring,Courier,S,No,19,85,0,4.4,17.47
